Iteration,Input (X1),Input (X2),Weight (w1),Weight (w2),Output (a),Actual (y),Cost (c),dc/da,Da/dw1,Da/dw2,Dc/dw1,Dc/dw2,Learning Rate
14,8,5,2.94337282257607,8.08960801411005,63.9950226511588,64,0.0000123870007434975,-0.0049773488412,8,5,-0.0398187907296,-0.024886744206,0.005
15,8,5,2.94357191652972,8.08973244783108,63.9972375713932,64,0.00000381550590383349,-0.0027624286068,8,5,-0.0220994288544,-0.013812143034,0.005
16,8,5,2.94368241367399,8.08980150854625,63.9984668521232,64,0.00000117527120606817,-0.0015331478768,8,5,-0.0122651830144,-0.007665739384,0.005
17,8,5,2.94374373958906,8.08983983724317,63.9991491029283,64,0.000000362012913313817,-0.0008508970717,8,5,-0.0068071765736,-0.0042544853585,0.005
18,8,5,2.94377777547193,8.08986110966996,63.9995277521252,64,0.000000111509027626558,-0.0004722478748,8,5,-0.0037779829984,-0.002361239374,0.005
19,8,5,2.94379666538692,8.08987291586683,63.9997379024295,64,0.0000000343475682310012,-0.0002620975705,8,5,-0.002096780564,-0.0013104878525,0.005
20,8,5,2.94380714928974,8.08987946830609,63.9998545358484,64,0.0000000105799097003539,-0.0001454641516,8,5,-0.0011637132128,-0.000727320758,0.005
21,8,5,2.9438129678558,8.08988310490988,63.9999192673958,64,0.00000000325887669045693,-0.0000807326042,8,5,-0.0006458608336,-0.000403663021,0.005
22,8,5,2.94381619715997,8.08988512322499,63.9999551934047,64,0.00000000100381549118899,-0.0000448065953,8,5,-0.0003584527624,-0.0002240329765,0.005
23,8,5,2.94381798942378,8.08988624338987,63.9999751323396,64,0.000000000309200266884864,-0.0000248676604,8,5,-0.0001989412832,-0.000124338302,0.005
24,8,5,2.9438189841302,8.08988686508138,63.9999861984485,64,0.0000000000952414119035761,-0.0000138015515,8,5,-0.000110412412,-0.0000690077575,0.005
25,8,5,2.94381953619226,8.08988721012017,63.9999923401389,64,0.0000000000293367360356466,-0.0000076598611,8,5,-0.0000612788888,-0.0000382993055,0.005
26,8,5,2.9438198425867,8.0898874016167,63.9999957487771,64,0.0000000000090364480727422,-0.0000042512229,8,5,-0.0000340097832,-0.0000212561145,0.005
27,8,5,2.94382001263562,8.08988750789727,63.9999976405713,64,0.00000000000278345189519185,-0.0000023594287,8,5,-0.0000188754296,-0.0000117971435,0.005
28,8,5,2.94382010701277,8.08988756688299,63.9999986905171,64,0.000000000000857372732696205,-0.0000013094829,8,5,-0.0000104758632,-0.0000065474145,0.005
29,8,5,2.94382015939209,8.08988759962006,63.999999273237,64,0.0000000000002640922290845,-0.000000726763,8,5,-0.000005814104,-0.000003633815,0.005
30,8,5,2.94382018846261,8.08988761778914,63.9999995966466,64,0.00000000000008134698264578,-0.0000004033534,8,5,-0.0000032268272,-0.000002016767,0.005
31,8,5,2.94382020459675,8.08988762787298,63.9999997761389,64,0.000000000000025056896046605,-0.0000002238611,8,5,-0.0000017908888,-0.0000011193055,0.005
32,8,5,2.94382021355119,8.08988763346951,63.9999998757571,64,0.000000000000007718149100205,-0.0000001242429,8,5,-0.0000009939432,-0.0000006212145,0.005
33,8,5,2.94382021852091,8.08988763657558,63.9999999310452,64,0.00000000000000237738222152,-0.0000000689548,8,5,-0.0000005516384,-0.000000344774,0.005
34,8,5,2.9438202212791,8.08988763829945,63.9999999617301,64,0.000000000000000732292623005,-0.0000000382699,8,5,-0.0000003061592,-0.0000001913495,0.005
35,8,5,2.9438202228099,8.0898876392562,63.9999999787602,64,0.00000000000000022556455202,-0.0000000212398,8,5,-0.0000001699184,-0.000000106199,0.005
36,8,5,2.94382022365949,8.0898876397872,63.9999999882119,64,0.000000000000000069479650805,-0.0000000117881,8,5,-0.0000000943048,-0.0000000589405,0.005
37,8,5,2.94382022413101,8.0898876400819,63.9999999934576,64,0.00000000000000002140149888,-0.0000000065424,8,5,-0.0000000523392,-0.000000032712,0.005
38,8,5,2.94382022439271,8.08988764024546,63.999999996369,64,0.0000000000000000065920805,-0.000000003631,8,5,-0.000000029048,-0.000000018155,0.005
39,8,5,2.94382022453795,8.08988764033624,63.9999999979848,64,0.00000000000000000203051552,-0.0000000020152,8,5,-0.0000000161216,-0.000000010076,0.005
40,8,5,2.94382022461856,8.08988764038662,63.9999999988816,64,0.00000000000000000062540928,-0.0000000011184,8,5,-0.0000000089472,-0.000000005592,0.005
41,8,5,2.9438202246633,8.08988764041458,63.9999999993793,64,0.000000000000000000192634245,-0.0000000006207,8,5,-0.0000000049656,-0.0000000031035,0.005
42,8,5,2.94382022468813,8.0898876404301,63.9999999996555,64,0.000000000000000000059340125,-0.0000000003445,8,5,-0.000000002756,-0.0000000017225,0.005
43,8,5,2.94382022470191,8.08988764043871,63.9999999998088,64,0.00000000000000000001827872,-0.0000000001912,8,5,-0.0000000015296,-0.000000000956,0.005
44,8,5,2.94382022470956,8.08988764044349,63.9999999998939,64,0.000000000000000000005628605,-0.0000000001061,8,5,-0.0000000008488,-0.0000000005305,0.005
45,8,5,2.9438202247138,8.08988764044614,63.9999999999411,64,0.000000000000000000001734605,-0.0000000000589,8,5,-0.0000000004712,-0.0000000002945,0.005
46,8,5,2.94382022471616,8.08988764044761,63.9999999999673,64,0.000000000000000000000534645,-0.0000000000327,8,5,-0.0000000002616,-0.0000000001635,0.005
47,8,5,2.94382022471747,8.08988764044843,63.9999999999819,64,0.000000000000000000000163805,-0.0000000000181,8,5,-0.0000000001448,-0.0000000000905,0.005
48,8,5,2.94382022471819,8.08988764044888,63.9999999999899,64,0.000000000000000000000051005,-0.0000000000101,8,5,-0.0000000000808,-0.0000000000505,0.005
49,8,5,2.94382022471859,8.08988764044913,63.9999999999944,64,0.00000000000000000000001568,-0.0000000000056,8,5,-0.0000000000448,-0.000000000028,0.005
50,8,5,2.94382022471881,8.08988764044927,63.9999999999968,64,0.00000000000000000000000512,-0.0000000000032,8,5,-0.0000000000256,-0.000000000016,0.005
51,8,5,2.94382022471894,8.08988764044935,63.9999999999983,64,0.000000000000000000000001445,-0.0000000000017,8,5,-0.0000000000136,-0.0000000000085,0.005
52,8,5,2.94382022471901,8.08988764044939,63.999999999999,64,0.0000000000000000000000005,-0.000000000001,8,5,-0.000000000008,-0.000000000005,0.005
53,8,5,2.94382022471905,8.08988764044942,63.9999999999995,64,0.000000000000000000000000125,-0.0000000000005,8,5,-0.000000000004,-0.0000000000025,0.005
54,8,5,2.94382022471907,8.08988764044943,63.9999999999997,64,0.000000000000000000000000045,-0.0000000000003,8,5,-0.0000000000024,-0.0000000000015,0.005
55,8,5,2.94382022471908,8.08988764044944,63.9999999999998,64,0.00000000000000000000000002,-0.0000000000002,8,5,-0.0000000000016,-0.000000000001,0.005
56,8,5,2.94382022471909,8.08988764044945,64,64,0,0,8,5,0,0,0.005
